Title,Authors,Cited,Institution (Laboratory/Group),Robot (type),Year,Number of microphones,Array Geometry,Type of microphone,Number of sources located in practice,Maximum distance to source in practice,Mobility of source,Mobility of capture system,Localization dimensions,Design considered noise,Design considered reverberation,Ear (external or canal),DOA estimation metholology,Tracking metholody,Capture hardware,Software framework,Evaluation metrics - unificar
Multi-person conversation via multi-modal interface - a robot who communicate with multi-user,"Yosuke Matsusaka, Tsuyoshi Tojo, Sentaro Kubota, Kenji Furukawa,
Daisuke Tamiya, Keisuke Hayata, Yuichiro Nakano, Tetsunori Kobayashi",matsusaka1999multi,Waseda University,ROBITA,1999,2,Binaural,,1,,,,Azimuth,,,,HRTF,,,,Ilustrative
Integrated natural spoken dialogue system of jijo-2 mobile robot for office services,"Toshihiro Matsui,Hideki Asoh John Fry, Youichi Motomura, Futoshi Asano, Takio Kurita, Isao Hara, Nobuyuki Otsu",matsui1999integrated,"Real-World Intelligence Center (EL), Stanford University",Jijo-2 (full service robot),1999,8,Circular,Omnidirectional,1,,,,Azimuth,,,,Beamforming,,,,"Task completion, WER"
The cog project: building a humanoid robot,"Rodney A. Brooks, Cynthia Breazeal, Matthew Marjanovic, Brian Scassellati, Matthew M. Williamson",brooks1999cog,MIT Artificial Intelligence Lab,"Cog (robot head, torso, and arms)",1999,2,Binaural,Omnidirectional,1,,,,Azimuth,,,Yes,Trained on IID,,,,
Active audition for humanoid,"Kazuhiro Nakadai, Tino Lourensy, Hiroshi G. Okuno, Hiroaki Kitano",Nakadai00activeaudition,"Japan Science and Technology Corp., Science University of Tokyo, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2000,2,Binaural,Omnidirectional,2,2.1 m,,Yes,Azimuth,,,Yes,ITD via Phase Difference,,Sony ECM-77S,,Graph paths
Humanoid active audition system,"Kazuhiro Nakadai, Hiroshi G. Okuno, Tino Laurens, Hiroaki Kitano",nakadai2000humanoid,"Japan Science and Technology Corp.,  Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2000,2,Binaural,Omnidirectional,2,2.1 m,,,Azimuth,,,Yes,ITD via Phase Difference,,Sony ECM-77S,,Graph paths
Active audition system and humanoid exterior design,"Nakadai, Kazuhiro, Tatsuya Matsui, Hiroshi G. Okuno, Hiroaki Kitano. ",893225,"Japan Science and Technology Corp.,  Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2000,2,Binaural,,2,,Yes,Yes,Azimuth,Yes,,Yes,ITD via Phase Difference (variation),,,,"Error, graph paths"
Real-time sound source localization and separation system and its application to automatic speech recognition,"Asano, Futoshi, Goto, Masataka, Itou, Katunobu, Asoh, Hideki",asano2001real,AIST,Nomad XR-4000,2001,8,Circular,,2,2 m,,Yes,Azimuth,,,,MUSIC,,DSPs (TI C6701),,WER
Epipolar geometry based sound localization and extraction for humanoid audition,"Kazuhiro Nakadai , Hiroshi G. Okuno, Hiroaki Kitano",977176,"Japan Science and Technology Corp., Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2001,2,Binaural,Omnidirectional,2,,Yes,,Azimuth,Yes,Yes,Yes,ITD via Phase Difference,,,,"Detection, error"
Human-robot interaction through real-time auditory and visual multiple-talker tracking,"Hiroshi G. Okunot, Kazuhiro Nakadait, Ken-ichi Hidait, Hiroshi Mizoguchit, Hiroaki Kitano",977177,"Japan Science and Technology Corp., Science University of Tokyo, Saitama University, Sony Computer Science Laboratories, Inc. (ERATO)",SIG (robotic head),2001,2,Binaural,Omnidirectional,1,,,,Azimuth,,,Yes,Integrating Spatial Cues (ITD and IID),,microphones Sony ECM-77s,,
Real-time multiple speaker tracking by multi-modal integration for mobile robots,"Kazuhiro Nakadai, Ken-ichi Hidai, Hiroshi G. Okuno, Hiroaki Kitano",NakadaiSIGMultimodal,"Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2001,4,Two Binaurals,Omnidirectional,2,,Yes,,Azimuth,,,Yes,Integrating Spatial Cues (ITD and IID),Clustering by Past Estimation,,,Graph paths
Real-time auditory and visual multiple-object tracking for humanoids,"Kazuhiro Nakadai, Ken-ichi Hidai, Hiroshi Mizoguchi, Hiroshi G. Okuno, Hiroaki Kitano",Nakadai:2001:RAV,"Saitama University, Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2001,4,Two Binaurals,Omnidirectional,2,,Yes,,Azimuth,,,Yes,Integrating Spatial Cues (ITD and IID),Clustering by Past Estimation,,,Graph paths
Real-time sound source localization and separation for robot audition,"K. Nakadai, H. G. Okuno, H. Kitano",Nakadai02realtimesound,"Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2002,2,Two Binaurals,Omnidirectional,2,0.8 m,Yes,Yes,Azimuth,,,Yes,Integrating Spatial Cues (ITD and IID),Used other modalities (vision),,,"Error, signal based"
Discriminative binaural sound localization,"Ehud Ben-Reuven, Yoram Singer",Reuven2002aa,The Hebrew University,Aibo,2002,2,Binaural,Omnidirectional,1,,,,Azimuth,,,,ITD via GCC-PHAT (variation),,,,Error
Talker tracking display on autonomous mobile robot with a moving microphone array,"Takanobu Nishiura, Masaya Nakamura, Akinobu Lee, Hiroshi Saruwatari, Kiyohiro Shikano",nishiura2002talker,"Wakayama University, ATR Spoken Language Translation Research Labs, Nara Institute of Science and Technology",,2002,16,Circular,Omnidirectional,2,4 m,,Yes,Azimuth,,Yes,,ITD via GCC-PHAT,,,,Detection
Social interaction of humanoid robot based on audio-visual tracking,"Hiroshi G. Okuno, Kazuhiro Nakadai, Hiroaki Kitano",Okuno2002,"Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2002,4,Two Binaurals,Omnidirectional,1,,,,Azimuth,,,Yes,Integrating Spatial Cues (ITD and IID),,,,Detection
A linear phase unwrapping method for binaural sound source localization on a robot,"Danfeng Li, Stephen E. Levinson",1013333,University of Illinois,,2002,2,Binaural,Omnidirectional,1,,Yes,Yes,Azimuth,,,,ITD via Cross-correlation,,,,Detection
Exploiting auditory fovea in humanoid-human interaction,"Kazuhiro Nakadai, Hiroshi G. Okuno, Hiroaki Kitano",Nakadai:2002:EAF,"Japan Science and Technology Corp,, Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2002,2,Two Binaurals,Omnidirectional,3, ,Yes,Yes,Azimuth,Yes,Yes,Yes,ITD via Phase Difference (variation),Kalman Filter,,,Signal based
Humanoid robots in waseda university - hadaly-2 and wabian,"S. Hashimoto, S. Narita, H. Kasahara, K. Shirai, T. Kobayashi, A. Takanishi, S. Sugano, J. Yamaguchi, H. Sawada, H. Takanobu, K. Shibuya, T. Morita, T. Kurata, N. Onoe, K. Ouchi, T. Noguchi, Y. Niwa, S. Nagayama, H. Tabayashi, I. Matsui, M. Obata, H. Matsuzaki, A. Murasugi, T. Kobayashi, S. Haruyama, T. Okada, Y. Hidaki, Y. Taguchi, K. Hoashi, E. Morikawa, Y. Iwano, D. Araki, J. Suzuki, M. Yokoyama, I. Dawa, D. Nishino, S. Inoue, T. Hirano, E. Soga, S. Gen, T. Yanada, K. Kato, S. Sakamoto, Y. Ishii, S. Matsuo, Y. Yamamoto, K. Sato, T. Hagiwara, T. Ueda, N. Honda, K. Hashimoto, T. Hanamoto, S. Kayaba, T. Kojima, H. Iwata, H. Kubodera, R. Matsuki, T. Nakajima, K. Nitto, D. Yamamoto, Y. Kamizaki, S. Nagaike, Y. Kunitake, S. Morita",Hashimoto2002,Waseda University,Hadaly-2 (full service robot),2002,2,Binaural,,1,,,,Azimuth,,,,,,,,
Real-time speaker localization and speech separation by audio-visual integration,"Kazuhiro Nakadai, Ken-ichi Hidai, Hiroshi G. Okuno, Hiroaki Kitano",1013493,"Kyoto University, Sony Computer Science Laboratories Inc. (ERATO)",SIG (robotic head),2002,4,Two Binaurals,Omnidirectional,2,0.5 m,Yes,,Azimuth,,,Yes,"Integrating Spatial Cues (ITD, IID, and Overtones)",,,,Error
Robust sound source localization using a microphone array on a mobile robot,"J.-M. Valin, F. Michaud, J. Rouat, D. Letourneau",1248813,Universite de Sherbrooke (IntRoLab),Pioneer 2,2003,8,Prism,Omnidirectional,1,5 m,,,"Azimuth, Elevation",Yes,,,ITD via GCC-PHAT (variation),,8-channel PCI soundcard,,Error
Applying scattering theory to robot audition system: robust sound source localization and extraction,"Nakadai, Kazuhiro, Matsuura, Daisuke, Okuno, Hiroshi G, Kitano, Hrioaki",1248800,"Honda Research Institute and Kyoto University (HARK), Tokyo Institute of Technology, Japan Science and Technology Corp.",SIG (robotic head),2003,2,Binaural,,1,1 m,,,"Azimuth, Elevation",,,Yes,ITD via Scattering Theory,,,,Error
Building a sound localization system for a robot head,"Oscar Deniz, Jorge Cabrera, Mario Hernandez",Deniz2003aa,Universidad de Las Palmas de Gran Canaria,,2003,2,Binaural,Omnidirectional,1,,,,Azimuth,,,,ITD via Cross-correlation (variation),,"Philips lavalier, Terratec EWS88",,Signal based
Detection and localization with an acoustic array on a small robotic platform in urban environments,"Stuart H. Young, Michael V. Scanlon",young2003detection,Army Research Laboratory,iRobot-ATRV2 (mobile base),2003,8,Circular,,1,,,Yes,Azimuth,,,,ITD via Onset Time (variation),,,,
Localization of simultaneous moving sound sources for mobile robot using a frequency- domain steered beamformer approach,"J.-M. Valin, F. Michaud, B. Hadjou, J. Rouat",Valin:2004fk,Universite de Sherbrooke (IntRoLab),Pioneer 2,2004,8,Cubic,Omnidirectional,7,7 m,Yes,Yes,"Azimuth, Elevation",,,,Beamforming (variation),Bayesian Approach,8-channel PCI soundcard,,"Detetion, graph paths"
Robot phonotaxis in the wild: a biologically inspired approach to outdoor sound localization,"A. D. Horchler, R. E. Reeve, B. Webb, R. D. Quinn",Horchler1568553041738095,Case Western Reserve University; University of Edinburgh (Biologically Inspired Robotics Laboratory),Whegs ASP,2004,2,Binaural,Omnidirectional,1,4 m,Yes,Yes,Azimuth,,,,Integrating Spatial Cues (ITD and IID),,in-house designed to a cricket sound frequency carrier: 4.7 kHz,,Performance
Robotics sound-source localization and tracking using interaural time difference and cross-correlation,"J. C. Murray, H. Erwin, S. Wermter",Murray04roboticssoundsource,University of Sunderland (Hybrid Intelligent Systems),LENA (mobile base),2004,2,Binaural,Omnidirectional,1,1.5 m,,Yes,Azimuth,,,,ITD via Cross-correlation,,,,Error
System for robust 3d speaker tracking using microphone array measurements,"D. Bechler, M. Schlosser, K. Kroschel",1389722,Universitat Karlsruhe,,2004,5,Equilateral Double-tetrahedron,Omnidirectional,1,2 m,Yes,,"Azimuth, Elevation, Distance",Yes,Yes,,ITD via GCC-PHAT (variation),Kalman Filter (variation),,,Error
Computational auditory scene analysis and its application to robot audition,"Hiroshi G. Okuno, Tetsuya Ogata, Kazunori Komatani, Kazuhiro Nakadai
",4538702,Honda Research Institute and Kyoto University (HARK),"SIG, SIG2 and Reptile",2004,2,Binaural,Omnidirectional,3,1 m,,,Azimuth,Yes,,Yes,ITD via Scattering Theory,,,HARK,WER
Robot phonotaxis with dynamic sound-source localization,"Sean B.,ersson, Amir A. Handzel, Vinay Shah, P.S. Krishnaprasad",1302483,"University of Maryland, College Park",,2004,2,Binaural,Omnidirectional,1,,,Yes,Azimuth,,,,ITD and IID via Scattering Theory,,MICROPHONE: Knowles FG-3329,,"Error, detection"
Robust speech interface based on audio and video information fusion for humanoid hrp-2,"Isao Hara, Futoshi Asano, Hideki Asoh, Jun Ogata, Naoyuki Ichimura, Yoshihiro Kawai, Fumio Kanehiro, Hirohisa Hirukawa, Kiyoshi Yamamoto",1389768,"AIST, Tsukuba University",HRP-2 (full service robot),2004,16,Circular,Omnidirectional,3,,Yes,,Azimuth,Yes,,,MUSIC,,,,Graph path 
An application of a particle filter to bayesian multiple sound source tracking with audio and video information fusion,"Hideki Asoh, Futoshi Asano, Takashi Yoshimura, Yoichi Motomura, Naoyuki Ichimura, Isao Hara, Jun Ogata, Kiyoshi Yamamoto",Asoh04anapplication,"National Institute of Industrial Science and Technology, University of Tsukuba",(robotic head),2004,5,Circular,Omnidirectional,1,1.5 m,Yes,,Azimuth,,,,,Particle Filter (variation),,,"Grpah path, error classes"
Passive sonar applications: target tracking and navigation of an autonomous robot,"Leonardo Mattos, Edward Grant",1302388,North Carolina State University,EvBot-II (mobile base),2004,8,On Robot's Irregular Surface,Omnidirectional,1,,Yes,Yes,Azimuth,,,,Beamforming,,,,"Detection, graph paths"
Three ring microphone array for 3d sound localization and separation for mobile robot audition,"Yuki Tamai, Yoko Sasaki, Satoshi Kagami, Hiroshi Mizoguchi",1545095,"Tokyo University of Science, National Institute of Advanced Industrial Science and Technology, PRESTO",,2005,32,Three Circulars,,2,1.5 m,,,"Azimuth, Elevation, Distance",Yes,,,Beamforming,,ART-Linux-based Real Time Operating System with a PCI 128-channel simultaneous input analog-to-digital (A/D) board is used for simultaneous multi-channel sampling.,,Average error
Multiple moving speaker tracking by microphone array on mobile robot,"Masamitsu Murase, Shunichi Yamamoto, Jean-Marc Valin, Kazuhiro Nakadai, Kentaro Yamada, Kazunori Komatani, Tetsuya Ogata, Hiroshi G. Okuno",Murase2005,"Honda Research Institute and Kyoto University (HARK), Universite de Sherbrooke (IntRoLab)",SIG2 (robotic torso),2005,8,On Robot's Irregular Surface,Omnidirectional,3,2 m,Yes,Yes,Azimuth,Yes,Yes,Yes,Beamforming (variation),Kalman Filter (variation),,,"Path graphs, error"
Psychological and social effects of one year robot assisted activity on elderly people at a health service facility for the aged,"Kazuyoshi Wada, Takanori Shibata, Tomoko Saito, Kayoko Sakamoto, Kazuo Tanie",1570535,Natinal Institute Advance Science and Technology,Paro,2005,,,,,,,,,,,,,,,,
Audio servo for robotic systems with pinnae,"Makoto Kumon, Tomoko Shimoda, Ryuichi Kohzawa, Ikuro Mizumoto, Zenta Iwai",kumon2005audio,Kumamoto University,,2005,2,Binaural,,1,,,Yes,Elevation,Yes,,Yes,Spectral Cues (Elevation),,,,detection
Auditory robotic tracking of sound sources using hybrid cross-correlation and recurrent networks,"John Murray, Stefan Wermter, Harry Erwin",murray2005auditory,University of Sunderland,,2005,2,Array,,1,1.5 m,Yes,,Azimuth,,,,ITD via Cross-correlation,Recurrent Neuronal Network,,,Correct prediction
Sound source localisation through active audition,"Erik Berglund, Joaquin Sitte",1545032,"University of Queensland, Queensland University of Technology",Aibo,2005,2,Binaural,Omnidirectional,1,1 m,,,"Azimuth, Elevation, Distance",,,,Integrating Spatial Cues (ITD and IID),,,,Error
Prototyping filter-sum beamformers for sound source localization in mobile robotics,"Sylvain Argentieri, Patrick Danes, Philippe Soueres",argentieri2005prototyping,"LAAS - CNRS, Universite de Toulouse",,2005,8,Linear,Omnidirectional,1,,,,Azimuth,Yes,,,Beamforming (variation),,"MICROPHONES: GRAS 40PQ, DATA ACQUISITION: Audio-AUPM from Bittware equipped with Dual
21065L Analog Devices DSPs",,
Auditory evidence grids,"E. Martinson, A. Schultz",4058519,Georgia Institute of Technology (Naval Research Laboratory),iRobot B21R,2006,4,Square,Omnidirectional,2,3 m,,Yes,"Azimuth, Distance",Yes,,,ITD via GCC-PHAT,Log-likelihood,"8-Channel PCMCIA data
acquisition board",,Detection
Robust localization and tracking of simultaneous moving sound sources using beamforming and particle filtering,"J.-M. Valin, F. Michaud, J. Rouat",Valin2007216,Universite de Sherbrooke (IntRoLab),Spartacus (full service robot),2006,8,Cubic and On Robot's Irregular Surface,Omnidirectional,4,7 m,Yes,Yes,"Azimuth, Elevation",Yes,Yes,,Beamforming (variation),Particle Filter,8-channel PCI soundcard,,"Error, detection"
Bioinspired auditory sound localisation for improving the signal to noise ratio of socially interactive robots,"Murray, John C, Wermter, Stefan, Erwin, Harry R",4058531,Universit of Suderland,,2006,2,Array,,1,1 m,Yes,Yes,Azimuth,,,,ITD via Cross-correlation,Recurrent Neural Network,,,WER
Multiple sound source mapping for a mobile robot by self-motion triangulation,"Yoko Sasaki, Satoshi Kagami, Hiroshi Mizoguchi",Sasaki2006aa,"Tokyo University of Science, National Institute of Advanced Industrial Science and Technology (PRESTO)",Nomad-XR4000,2006,32,Three Circulars,,5,3 m,Yes,Yes,Azimuth,Yes,Yes,,Beamforming (variation),RANdom SAmple Consensus,"Primo EM-100PT, Mic-input has 32 A/D converters(AD7680BRM) and can sample 32",,Graph paths
Spectral cues for robust sound localization with pinnae,"Tomoko Shimoda, Toru Nakashima, Makoto Kumon, Ryuichi Kohzawa,Ikuro Mizumoto, Zenta Iwai",4059022,Kumamoto University,(robotic head),2006,2,Binaural,Omnidirectional,1,0.5 m,,Yes,"Azimuth, Elevation",,,Yes,Spectral Cues (Azimuth and Elevation),,,,Error
Sound localization for humanoid robots - building audio-motor maps based on the HRTF,"Jonas Hornstein, Manuel Lopes, Jose Santos-Victor, Francisco Lacerda",hornstein2006sound,"Instituto Superior Tecnico de Lisboa, Stockholm University",iCub,2006,2,Binaural,Omnidirectional,1,1.5 m,,Yes,"Azimuth, Elevation",,,Yes,"Integrating Spatial Cues (ITD, IID, and Spectral Cues)",,,,Error
Robust tracking of multiple sound sources by spatial integration of room and robot microphone arrays,"Kazuhiro Nakadai, Hirofumi Nakajima, Masamitsu Murase, Satoshi Kaijiri, Kentaro Yamada, Takahiro Nakamura, Yuji Hasegawa, Hiroshi G. Okuno, Hiroshi Tsujino",nakadai2006robust,"Honda Research Institute and Kyoto University (HARK), Nittobo Acoustic Engineering",,2006,8,Cubic,Omnidirectional,2,1.5 m,Yes,,Azimuth,Yes,Yes,,MUSIC (variation),,,,Error
Robust 3d localization and tracking of sound sources using beamforming and particle filtering,"Jean-Marc Valin, Francois Michaud, Jean Rouat",1661100,Universite de Sherbrooke (IntRoLab),,2006,8,Circular,Omnidirectional,3,1.5 m,Yes,,"Azimuth, Distance",Yes,Yes,,Beamforming (variation),Particle Filter,,,Graph paths
A new method for binaural 3-d localization based on hrtfs,"Fakheredine Keyrouz, Youssef Naous, Klaus Diepold",1661282,Technische Universität München,(robotic head),2006,2,Binaural,,1, ,,,"Azimuth, Elevation",Yes,Yes,Yes,HRTF,,,,Detection
A novel humanoid binaural 3d sound localization and separation algorithm,"Fakherdine Keyrouz, Werner Maier, Klaus Diepold",keyrouz2006novel,Technische Universität München,Kemar (robotic head),2006,2,Binaural,,2,,,,"Azimuth, Elevation",Yes,Yes,Yes,HRTF,,,,"Detection, graph paths"
Modal analysis based beamforming for nearfield or farfield speaker localization in robotics,"Sylvain Argentieri, Patrick Danes, Philippe Soueres",4058470,"LAAS - CNRS, Universite de Toulouse",,2006,8,Linear,,1,,,,Azimuth,,,,Beamforming (variation),,,,Energy maps
Real-time tracking of multiple sound sources by integration of in-room and robot-embedded microphone arrays,"Kazuhiro Nakadai, Hirofumi Nakajima, Masamitsu Murase, Hiroshi G. Okuno, Yuji Hasegawa, Hiroshi Tsujino",4058468,"Honda Research Institute and Kyoto University (HARK), Nittobo Acoustic Engineering Co.",ASIMO (full service robot),2006,8,Circular,Omnidirectional,2,1.5 m,Yes,Yes,Azimuth,Yes,,,MUSIC (variation),Particle Filter,,,"Error, graph paths"
Enabling multimodal human-robot interaction for the karlsruhe humanoid robot,"R. Stiefelhagen, H. K. Ekenel, C. Fugen, P. Gieselmann, H. Holzapfel, F. Kraft, K. Nickel, M. Voit, A. Waibel",4339550,Universitat Karlsruhe (Interactive Systems Lab),ARMAR II and III,2007,6,On Robot's Irregular Surface,Omnidirectional,2,,Yes,,"Azimuth, Elevation",,,,ITD via GCC-PHAT,Particle Filter,,, 
Robotic discovery of the auditory scene,"E. Martinson, A. Schultz",4209130,Georgia Institute of Technology (Naval Research Laboratory),Pioneer 2,2007,4,Square,Omnidirectional,2,3 m,,Yes,"Azimuth, Distance",Yes,Yes,,ITD via GCC-PHAT,Log-likelihood,"8-Channel PCMCIA data
acquisition board",,Error
A spatial sound localization system for mobile robots,"Li, Huakang, Yosiara, Takuya, Zhao, Qunfei, Watanabe, Teppei, Huang, Jie",4258053,"The University of Aizu, Shanghai Jiao Tong University (RIKEN)",,2007,4,Pyramidal,,2,1 m,,,"Azimuth, Elevation",Yes,Yes,,ITD via Cross-correlation,,,,Error
Combining sound localization and laser-based object recognition,"Calmes, Laurent, Wagner, Hermann, Schiffer, Stefan, Lakemeyer, Gerhard",Calmes07combiningsound,"Aachen University (Knowledge-based Systems Group, Institute for Biology II)",,2007,2,Binaural,,2,1 m,,Yes,Azimuth,Yes,,,ITD via Cross-correlation (variation),,,, 
Real-time acoustic source localization in noisy environments for human-robot multimodal interaction,"Trifa, Vlad M, Koene, Ansgar, Moren, Jan, Cheng, Gordon",4415116,"ETH Zurich, NICT, JST-ICORP",Computational Brain by SARCOS,2007,2,Binaural,Cardioid,1,,,,Azimuth,,,,ITD via GCC-PHAT (variation),,"Shure MX184BP, pre-amplified by a STICK-ON STM-2",, 
Azimuthal sound localization using coincidence of timing across frequency on a robotic platform,"Laurent Calmes, Gerhard Lakemeyer, Hermann Wagner",Calmes2709866,"Aachen University (Knowledge-based Systems Group, Institute for Biology II)",,2007,2,Binaural,Omnidirectional,1,1 m,,Yes,Azimuth,Yes,,Yes,ITD via Cross-correlation,,"Sony ECM-F8 omnidirectional electret condenser microphones frequency range: 50 Hz– 12 kHz, connected to two preamplifiers built around an LF351N op-amp",,Error
Broadband variations of the music high-resolution method for sound source localization in robotics,"Sylvain Argentieri, Patrick Danes",argentieri2007broadband,University of Toulouse,,2007,8,Linear,,2,3 m,,,Azimuth,,,,MUSIC (variation),,,,Performance
Convex optimization and modal analysis for beamforming in robotics: theoretical and implementation issues,"Sylvain Argentieri, Patrick Danes",7098908,"University of Toulouse, University Paul Sabatier",The Scout Robotics Platform,2007,15,Linear,,1,,,,Azimuth,,,,Beamforming,,,,Characterization graph
Robotic localization and separation of concurrent sound sources using self-splitting competitive learning,"Fakheredine Keyrouz, Werner Maier, Klaus Diepold",4221442,Technische Universitat Miunchen,KERMA (robotic head),2007,2,Binaural,Omnidirectional,2,,,,"Azimuth, Elevation",Yes,,Yes,HRTF,,,,Error
Robotic binaural localization and separation of more than two concurrent sound sources,"Fakheredine Keyrouz, Werner Maier, Klaus Diepold",4555468,Technische Universitat Miunchen,KERMA (robotic head),2007,2,Binaural,Omnidirectional,2,,,,"Azimuth, Elevation",Yes,,Yes,HRTF,,,,Error
Design and evaluation of two-channel-based sound source localization over entire azimuth range for moving talkers,"Hyun-Don Kim, Kazunori Komatani, Tetsuya Ogata, Hiroshi G. Okuno",4650947,Kyoto University,SIG2 (robotic torso),2008,2,Binaural,,1,,Yes,,Azimuth,,,Yes,ITD via GCC-PHAT,Expectation-Maximization,,,"Error, detection"
